SurvivalSeconds,Score,Lives,ActiveObstacles,CurrentMaxObstacles,ObstaclePressure,ActiveEnemies,CurrentMaxEnemies,EnemyPressure,ActiveEnemyBullets,ActivePlayerShots,ShotCharges,ActiveShields,Difficulty,ControlMode,TimeRating,ScoreRating,AutoLabelReason,Label
137.99,2000,0,1,7,1.00,1,2,1.00,0,0,0,0,Easy,Bot,TooEasy,TooEasy,LongSurvival,TooEasy
61.10,1000,0,2,8,0.60,2,3,0.71,0,0,0,1,Normal,Bot,Balanced,Balanced,BalancedTimeAndScore,Balanced
22.62,230,0,3,6,0.22,2,2,0.25,0,0,1,0,Normal,Bot,TooHard,TooHard,ShortSurvival,TooHard
44.52,620,0,2,7,0.44,2,3,0.51,0,0,0,0,Normal,Bot,Balanced,Balanced,BalancedTimeAndScore,Balanced
129.45,1680,0,2,7,1.00,0,2,1.00,1,0,0,0,Easy,Bot,Balanced,Balanced,BalancedTimeAndScore,Balanced
53.43,870,0,3,8,0.52,1,3,0.62,0,0,0,0,Normal,Bot,Balanced,Balanced,BalancedTimeAndScore,Balanced
225.31,3340,0,2,7,1.00,1,2,1.00,0,1,1,0,Easy,Bot,TooEasy,TooEasy,LongSurvival,TooEasy
44.95,630,0,3,7,0.44,2,3,0.52,0,0,0,0,Normal,Bot,Balanced,Balanced,BalancedTimeAndScore,Balanced
64.75,980,0,2,8,0.64,1,3,0.75,1,0,0,0,Normal,Bot,Balanced,Balanced,BalancedTimeAndScore,Balanced
92.46,1565,0,2,10,0.91,2,4,1.00,0,0,0,1,Normal,Bot,Balanced,Balanced,BalancedTimeAndScore,Balanced
63.70,905,0,3,8,0.63,1,3,0.74,0,1,2,0,Normal,Bot,Balanced,Balanced,BalancedTimeAndScore,Balanced
73.38,1450,0,2,9,0.72,0,4,0.85,0,0,0,0,Normal,Bot,Balanced,Balanced,BalancedTimeAndScore,Balanced
168.19,2320,0,2,7,1.00,1,2,1.00,0,1,1,0,Easy,Bot,TooEasy,TooEasy,LongSurvival,TooEasy
58.20,890,0,3,8,0.57,1,3,0.67,0,1,0,0,Normal,Bot,Balanced,Balanced,BalancedTimeAndScore,Balanced
28.48,600,0,3,8,0.32,1,3,0.39,0,0,0,0,Hard,Bot,TooHard,Balanced,ShortSurvival,TooHard
45.48,1160,0,3,10,0.52,0,4,0.64,0,0,0,0,Hard,Bot,Balanced,Balanced,BalancedTimeAndScore,Balanced
114.84,1360,0,2,7,0.95,1,2,1.00,0,1,2,1,Easy,Bot,Balanced,Balanced,BalancedTimeAndScore,Balanced
47.25,1145,0,2,10,0.54,1,4,0.66,0,0,0,0,Hard,Bot,Balanced,Balanced,BalancedTimeAndScore,Balanced
192.18,2850,0,2,7,1.00,1,2,1.00,0,1,1,0,Easy,Bot,TooEasy,TooEasy,LongSurvival,TooEasy
