SurvivalSeconds,Score,Lives,ActiveObstacles,CurrentMaxObstacles,ObstaclePressure,ActiveEnemies,CurrentMaxEnemies,EnemyPressure,ActiveEnemyBullets,ActivePlayerShots,ShotCharges,ActiveShields,Difficulty,ControlMode,AutoLabelReason,Label
203.91,2905,0,2,7,1.00,0,2,1.00,0,0,0,0,Easy,Bot,LongSurvival,TooEasy
73.78,1265,0,2,9,0.73,1,4,0.86,1,0,0,0,Normal,Bot,GoodSurvivalAndScore,Balanced
55.13,785,0,3,8,0.54,1,3,0.64,0,1,1,0,Normal,Bot,GoodSurvivalAndScore,Balanced
43.15,970,0,3,10,0.50,1,4,0.60,0,0,0,0,Hard,Bot,GoodSurvivalAndScore,Balanced
121.24,1605,0,2,7,1.00,0,2,1.00,1,1,1,0,Easy,Bot,GoodSurvivalAndScore,Balanced
53.65,750,0,3,8,0.53,2,3,0.62,0,0,0,1,Normal,Bot,GoodSurvivalAndScore,Balanced
85.42,1425,0,2,10,0.84,1,4,0.99,1,0,0,0,Normal,Bot,GoodSurvivalAndScore,Balanced
17.88,350,0,3,7,0.20,2,2,0.24,0,1,0,0,Hard,Bot,ShortSurvival,TooHard
54.92,835,0,3,8,0.54,1,3,0.63,0,0,0,0,Normal,Bot,GoodSurvivalAndScore,Balanced
135.44,1640,0,2,7,1.00,1,2,1.00,1,1,1,0,Easy,Bot,LongSurvival,TooEasy
157.94,2070,0,2,7,1.00,1,2,1.00,0,1,0,0,Easy,Bot,LongSurvival,TooEasy
