SurvivalSeconds,Score,Lives,ActiveObstacles,CurrentMaxObstacles,ObstaclePressure,ActiveEnemies,CurrentMaxEnemies,EnemyPressure,ActiveEnemyBullets,ActivePlayerShots,ShotCharges,ActiveShields,HasShield,ShieldTimeLeft,ShieldPickupsThisRun,ShieldActiveSecondsThisRun,DashCooldown,DashReady,DashInvulnerable,DashUsesThisRun,BossActive,BossHealth,BuffsOnScreen,Difficulty,ControlMode,TimeRating,ScoreRating,AutoLabelReason,Label
109.33,2215,0,3,11,1.00,1,4,1.00,2,1,2,0,0,0.00,14,50.67,0.00,0,0,6,0,0,0,0,0.00,0.00,0,0,0,0,0,Normal,Human,TooEasy,TooEasy,ManualHumanFeedback,Balanced
57.03,810,0,4,8,0.56,1,3,0.66,1,0,2,0,0,0.00,3,29.90,0.00,1,0,0,0,0,0,Normal,Human,Balanced,TooHard,ManualHumanFeedback,TooHard
31.35,130,0,6,6,0.30,2,2,0.36,1,1,2,0,0,0.00,0,0.00,0.68,0,0,2,0,0,0,Normal,Human,TooHard,TooHard,ManualHumanFeedback,TooHard
7.12,0,0,4,4,0.07,1,1,0.08,1,0,3,0,0,0.00,0,0.00,0.00,1,0,0,0,0,0,Normal,Human,TooHard,TooHard,ManualHumanFeedback,TooHard
8.00,40,0,5,5,0.08,1,1,0.09,1,0,3,0,0,0.00,0,0.00,0.00,1,0,0,0,0,0,Normal,Human,TooHard,TooHard,ManualHumanFeedback,TooHard
49.98,1185,0,5,11,0.59,2,5,0.71,4,1,2,0,0,0.00,2,20.10,0.00,1,0,0,1,20,1,Hard,Bot,Balanced,Balanced,BalancedTimeAndScore,Balanced
215.22,2465,0,3,7,1.00,1,2,1.00,3,1,2,0,0,0.00,4,72.40,1.55,0,0,54,1,19,0,Easy,Bot,TooEasy,Balanced,LongSurvival,TooEasy
65.27,2005,0,3,13,0.77,2,6,0.93,2,0,0,2,0,0.00,4,22.15,1.57,0,0,19,1,20,1,Hard,Bot,TooEasy,TooEasy,LongSurvival,TooEasy
44.90,455,0,6,7,0.45,1,3,0.53,0,1,2,1,0,0.00,2,20.05,1.35,0,0,9,0,0,0,Normal,Bot,TooHard,TooHard,ShortSurvival,TooHard
13.53,135,0,6,7,0.16,2,2,0.19,1,1,2,0,0,0.00,0,0.00,0.92,0,0,4,0,0,0,Hard,Bot,TooHard,TooHard,ShortSurvival,TooHard
110.74,1830,0,3,11,1.00,2,4,1.00,2,1,0,0,0,0.00,4,51.33,1.27,0,0,24,1,19,1,Normal,Bot,TooEasy,TooEasy,LongSurvival,TooEasy
148.16,1395,0,4,7,1.00,1,2,1.00,2,1,1,0,0,0.00,2,40.00,1.57,0,0,36,1,20,1,Easy,Bot,Balanced,TooHard,LowScoreAfterOkaySurvival,TooHard
128.20,2215,0,2,11,1.00,1,4,1.00,3,1,1,0,0,0.00,5,42.67,1.42,0,0,38,1,18,0,Normal,Bot,TooEasy,TooEasy,LongSurvival,TooEasy
101.51,860,0,4,6,0.85,0,2,0.92,1,1,2,0,0,0.00,2,40.00,1.43,0,0,21,0,0,0,Easy,Bot,TooHard,TooHard,ShortSurvival,TooHard
13.00,160,0,5,7,0.15,2,2,0.19,1,1,2,0,0,0.00,1,0.40,1.40,0,0,4,0,0,0,Hard,Bot,TooHard,TooHard,ShortSurvival,TooHard
80.10,2455,0,3,14,0.94,2,6,1.00,2,1,2,1,0,0.00,4,56.98,1.57,0,0,12,1,20,0,Hard,Bot,TooEasy,TooEasy,LongSurvival,TooEasy
97.51,740,0,6,6,0.81,1,2,0.89,1,1,2,0,0,0.00,2,38.87,1.47,0,0,18,0,0,0,Easy,Bot,TooHard,TooHard,ShortSurvival,TooHard
76.37,1030,0,5,9,0.76,3,4,0.90,0,1,1,1,0,0.00,3,28.68,1.32,0,0,18,1,20,0,Normal,Bot,Balanced,Balanced,BalancedTimeAndScore,Balanced
40.48,845,0,4,10,0.48,2,4,0.58,0,1,1,1,0,0.00,1,20.00,1.57,0,0,8,0,0,1,Hard,Bot,Balanced,Balanced,BalancedTimeAndScore,Balanced
44.33,535,0,5,7,0.44,3,3,0.52,0,1,2,0,0,0.00,0,0.00,1.12,0,0,18,0,0,0,Normal,Bot,TooHard,TooHard,ShortSurvival,TooHard
56.03,340,0,4,5,0.47,1,1,0.51,1,1,2,0,0,0.00,0,0.00,1.05,0,0,14,0,0,0,Easy,Bot,TooHard,TooHard,ShortSurvival,TooHard
46.72,1125,0,4,10,0.55,2,4,0.67,4,1,0,0,0,0.00,1,0.77,1.45,0,0,20,1,20,1,Hard,Bot,Balanced,Balanced,BalancedTimeAndScore,Balanced
35.10,350,0,5,6,0.35,2,2,0.41,1,1,2,0,0,0.00,2,16.72,0.68,0,0,5,0,0,0,Normal,Bot,TooHard,TooHard,ShortSurvival,TooHard
93.41,740,0,4,6,0.78,2,2,0.85,1,1,3,0,0,0.00,2,37.02,0.88,0,0,15,0,0,1,Easy,Bot,TooHard,TooHard,ShortSurvival,TooHard
34.27,710,0,5,9,0.40,3,3,0.49,2,1,2,0,0,0.00,1,20.00,1.57,0,0,7,0,0,0,Hard,Bot,Balanced,Balanced,BalancedTimeAndScore,Balanced
38.43,370,0,6,7,0.38,2,2,0.45,2,1,2,0,0,0.00,1,0.88,0.60,0,0,13,0,0,0,Normal,Bot,TooHard,TooHard,ShortSurvival,TooHard
78.92,570,0,6,6,0.66,1,1,0.72,0,1,2,0,0,0.00,2,40.00,0.55,0,0,13,0,0,0,Easy,Bot,TooHard,TooHard,ShortSurvival,TooHard
29.63,295,0,6,6,0.30,2,2,0.35,1,1,1,0,0,0.00,0,0.00,1.28,0,0,10,0,0,0,Normal,Bot,TooHard,TooHard,ShortSurvival,TooHard
111.83,965,0,4,7,0.93,2,2,1.00,1,1,2,0,0,0.00,3,41.15,1.53,0,0,21,0,0,0,Easy,Bot,TooHard,TooHard,ShortSurvival,TooHard
